match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12454757,64%,36%,,,18,14,5,4,8,6,5,11,460,236,3,2,4,3,1,3,1.94,0.89,1,0
12650088,65%,35%,2,0,17,4,2,2,6,1,9,13,566,312,7,10,13,9,2,1,,,,
13023005,40%,60%,3,1,11,15,4,4,3,3,11,11,283,439,13,20,10,11,3,4,,,,
13006575,74%,26%,5,1,20,6,3,5,6,5,6,9,588,212,22,21,6,6,3,2,,,,
13029226,,,,,,,,,,,,,,,,,,,2,0,,,0,0
12437611,33%,67%,1,0,4,20,1,1,1,14,9,12,272,537,20,18,12,8,5,1,0.61,0.59,1,0
12499348,42%,58%,2,1,14,11,2,3,7,2,17,18,365,513,16,12,18,15,2,2,0.81,0.70,,
12499354,58%,42%,2,0,14,7,1,5,3,4,14,21,442,335,15,19,21,13,1,3,1.68,0.30,0,2
12499355,61%,39%,1,1,13,9,2,5,5,1,14,6,560,359,25,19,6,14,0,1,0.69,1.13,,
12900855,43%,57%,4,1,16,9,2,6,7,2,17,15,353,462,22,19,14,14,0,3,,,,
12970179,18%,82%,1,4,9,28,4,2,1,2,8,10,160,704,18,12,9,8,2,0,,,,
12970160,50%,50%,0,2,7,8,1,0,3,6,16,18,373,374,21,17,18,15,1,3,,,,
12970153,24%,76%,1,5,2,19,6,1,0,9,9,10,207,644,27,19,9,8,,,,,,
12970192,34%,66%,2,4,7,19,2,1,5,3,17,9,243,474,29,19,9,17,2,2,,,,
12970193,46%,54%,0,2,7,19,4,4,3,9,6,13,315,356,9,4,12,6,1,2,,,1,0
12970166,37%,63%,3,2,4,16,2,0,2,7,13,15,258,448,24,14,15,13,2,1,,,,
12970187,44%,56%,1,3,11,17,4,2,2,4,6,8,438,560,12,16,7,6,2,1,,,,
12375376,67%,33%,2,0,35,5,3,6,20,1,9,15,507,274,13,16,14,9,0,2,1.85,0.24,,
