match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12868606,3,1,16,9,,,13,15,,,,,,
12753012,11,8,7,7,34,33,9,31,91%,100%,,,,
12753024,16,12,5,6,32,36,21,16,63%,83%,,,,
12753036,19,12,3,5,53,60,28,17,74%,75%,,,,
13019043,1,2,18,12,,,21,9,,,3,1,,
12425088,3,2,17,25,,,17,12,,,,,,
13008779,7,24,7,11,60,51,6,28,86%,67%,,,,
13019046,15,15,5,11,43,45,17,30,67%,80%,,,,
13029521,3,3,16,24,,,12,20,,,5,4,,
13041742,2,2,10,19,,,18,9,,,,,,
12497319,3,0,26,12,,,19,1,,,3,1,,
12497311,2,2,17,19,,,14,8,,,,,,
12497305,1,3,12,18,,,24,17,,,1,1,,
11989123,4,0,10,11,,,35,13,,,,,,
11989126,1,3,15,6,,,18,16,,,1,2,,
12651004,2,2,15,18,,,9,17,,,1,2,,
12598355,1,9,9,21,,,7,5,,,,,,
12085469,3,1,22,13,,,13,4,,,4,1,,
12963291,2,3,4,6,,,16,9,,,1,1,,
13023452,6,4,9,14,,,14,12,,,2,3,,
12448840,5,3,10,18,,,6,8,,,2,4,,
12518416,15,10,7,13,32,38,14,11,73%,90%,,,,
12522419,17,33,6,11,50,43,4,30,65%,67%,,,,
13019039,17,12,12,9,59,56,21,21,65%,58%,,,,
12923109,11,13,9,9,50,43,7,14,73%,77%,,,,
12923104,20,14,11,10,53,49,18,15,60%,50%,,,,
12923103,24,31,13,10,62,59,10,30,67%,55%,,,,
12923107,11,15,18,12,48,49,18,19,82%,67%,,,,
12923108,20,15,3,16,50,49,13,18,75%,53%,3,1,,
12923105,15,15,7,14,45,44,6,27,73%,53%,,,,
12473120,2,2,16,9,,,21,21,,,2,2,,
12473122,5,3,7,16,,,3,8,,,,,,
12473125,5,4,12,19,,,18,14,,,1,3,,
12246985,3,1,18,8,,,7,12,,,,,,
12199061,0,5,21,15,,,10,32,,,1,3,,
12767356,2,5,15,7,,,15,17,,,3,3,,
12767360,14,4,17,12,,,13,15,,,1,1,,
12767375,6,4,10,12,,,9,15,,,3,5,,
12767362,5,6,26,20,,,19,20,,,5,8,,
12767354,10,3,22,28,,,24,15,,,3,3,,
13014313,19,12,4,4,49,40,11,6,47%,67%,,,,
13014305,9,11,8,8,43,25,20,16,78%,55%,,,,
13023005,13,20,7,7,51,59,14,8,62%,85%,,,,
13006575,22,21,12,15,60,53,19,36,41%,57%,,,,
13005422,23,18,8,9,57,65,17,11,74%,83%,,,,
13005420,24,17,12,8,52,60,25,16,42%,71%,,,,
13006576,11,22,5,8,56,56,10,16,64%,50%,,,,
13005427,21,23,10,8,47,52,25,12,71%,83%,,,,
13045718,21,12,8,6,59,52,24,28,62%,58%,,,,
13009004,9,11,7,5,68,42,2,46,67%,36%,,,,
12499348,16,12,8,5,49,52,18,23,56%,58%,,,,
12499354,15,19,7,5,37,38,18,23,53%,68%,,,,
12499355,25,19,6,10,45,32,8,31,68%,68%,,,,
12499350,10,14,9,3,32,40,33,5,60%,79%,,,,
12499357,17,17,9,6,44,48,18,26,65%,53%,,,,
12499347,17,20,6,11,54,48,14,24,65%,55%,,,,
12499353,17,11,7,10,52,47,11,26,65%,82%,1,2,,
12900855,22,19,12,8,46,53,15,28,68%,74%,,,,
12970179,18,12,16,6,35,46,29,2,61%,67%,,,,
12970160,21,17,11,6,53,41,18,16,67%,59%,,,,
12970153,27,19,13,13,53,72,38,8,74%,63%,,,,
12970192,29,19,11,8,47,55,17,28,69%,63%,,,,
